"","x"
"CR1950",2.39789527279837
"muIn",-1.56064774826467
"muIp",-1.20397280432594
"muH1",-4.8283137373023
"muH2",-3.50655789731998
"muH3",-1.46967597005894
"muT1",-4.8283137373023
"muT2",-3.77226106305299
"muT3",-2.99573227355399
"muTBH",-0.223143551314210
"TunRelFit",-0.993101037489173
"TunAR",0
"TrIn",-1.51412773262978
"TunHAART",0.847297860387203
"pfastN",-2.04065551664468
"pfastH1",-0.708185057924486
"pfastH2",0.708185057924486
"pfastH3",2.94443897916644
"pToIpN",0.489548225318706
"pToIpH1",-0.200670695462151
"pToIpH2",-0.619039208406224
"pToIpH3",-0.619039208406224
"rBreakDN",-6.90775527898214
"rBreakDH1",-5.80914299031403
"rBreakDH2",-2.40794560865187
"rBreakDH3",-1.77195684193188
"rNtoP",-4.19970507787993
"rIToLsN",-1.6094379124341
"rIToLsH1",-2.30258509299405
"rIToLsH2",-100
"rIToLsH3",-100
"PartImN",0.619039208406224
"PartImH1",-0.200670695462151
"PartImH2",-1.09861228866811
"PartImH3",-1.09861228866811
"H1toH2",-2.00991547903123
"H2toH3",-0.683196849706777
"rArtSU",0.0487901641694320
"SpecSpSL",3.62331476562105
"SensXrIn",0.510825623765991
"SensXrIp",2.71661556396113
"SpecXrSL",3.15231900817913
"SensCuIn",100
"SensCuIp",100
"SpecCuSL",4.11903717481247
"SensXpIn",0.969400557188103
"SensXpIp",3.9992195504583
"SpecXpSL",4.82028156560504
"SensXpRIF",3.70540875606515
"SpecXpRIF",3.94413348039892
"DwtTB",-0.989554911128957
"DwtH1",-1.85745472849345
"DwtH2",-0.75377180237638
"DwtH3",0.0200006667066694
"DwtT1",-1.85745472849345
"DwtT2",-1.72677934949642
"DwtT3",-1.60703982975009
"dr",-3.50655789731998
"CRr",-4.96184512992682
"TunTst1990",0
"TunTst2010",0
"NDTunTst1990",-1.6094379124341
"NDTunTst2010",-1.6094379124341
"TunTxSuc",0
"pReTx",0
"TunTxDef",0
"TunTxMort",0
"pDefND",0.322773392263051
"TunrHIV",0
"pLtfuS",-1.73460105538811
"pLtfuL",-1.09861228866811
"TxEf1",1.58562726374038
"TxEf2",-0.241162056816888
"TxEf3",2.58668934409794
"TxEf4",-0.241162056816888
"TxEf5",0.994622575144062
"TxEf6",-0.241162056816888
"ARr1",-3.91202300542815
"ARr2",-5.74460446917646
"ARr3",-4.60517018598809
"ARr4",-3.91202300542815
"ARr5",-1.46967597005894
"ARr6",-3.91202300542815
"ARr7",-1.46967597005894
"ARrND",1.09861228866811
"Nvis1L",1.77495235091167
"Nvis2L",3.10458667846607
"Nsmr1L",0
"Nsmr2L",0
"Ncul1L",-100
"Ncul2L",-0.843970070294529
"Nxry1L",-100
"Nxry2L",-1.96611285637283
"NipdMDR",1.74221902366792
"TunRegCost",0
"Creg1",1.76814960358892
"Creg2",2.89148225218019
"Creg3",3.52370995613755
"Creg4",4.78222791310695
"Creg5",5.18772094520601
"ArtFutCov",1.38629436111989
"pDstRBotswana",1.38629436111989
"pDstRLesotho",1.38629436111989
"pDstRNamibia",1.38629436111989
"pDstRSouthAfrica",1.38629436111989
"pDstRSwaziland",1.38629436111989
"pCulUBotswana",-1.38629436111989
"pCulULesotho",-1.38629436111989
"pCulUNamibia",-1.38629436111989
"pCulUSouthAfrica",-1.38629436111989
"pCulUSwaziland",-1.38629436111989
"pCulRBotswana",1.38629436111989
"pCulRLesotho",1.38629436111989
"pCulRNamibia",1.38629436111989
"pCulRSouthAfrica",1.38629436111989
"pCulRSwaziland",1.38629436111989
"rTstSLBotswana",-4.19970507787993
"rTstSLLesotho",-4.19970507787993
"rTstSLNamibia",-4.19970507787993
"rTstSLSouthAfrica",-4.19970507787993
"rTstSLSwaziland",-4.19970507787993
"CXptBotswana",3.46542335396143
"CXptLesotho",3.05494413318584
"CXptNamibia",3.36245655334572
"CXptSouthAfrica",3.44201937618241
"CXptSwaziland",3.2088254890147
"CSmrBotswana",1.81319474994812
"CSmrLesotho",1.19694818938897
"CSmrNamibia",1.66959183525385
"CSmrSouthAfrica",1.78170913337455
"CSmrSwaziland",1.44456326924387
"CXryBotswana",2.81480973767374
"CXryLesotho",2.20055236742889
"CXryNamibia",2.67138621673062
"CXrySouthAfrica",2.78253905309295
"CXrySwaziland",2.44581926107995
"CCltrBotswana",2.76190687389292
"CCltrLesotho",2.14710019015365
"CCltrNamibia",2.61885462229774
"CCltrSouthAfrica",2.72981169288372
"CCltrSwaziland",2.39242579699384
"CDstBotswana",4.40635332666494
"CDstLesotho",3.79143604243903
"CDstNamibia",4.26296152751494
"CDstSouthAfrica",4.37412046310278
"CDstSwaziland",4.03689198747402
"CVisSBotswana",1.92424865227413
"CVisSLesotho",0.667829372575655
"CVisSNamibia",1.66959183525385
"CVisSSouthAfrica",1.92424865227413
"CVisSSwaziland",1.41827740697294
"CVisLBotswana",2.33408376005342
"CVisLLesotho",1.07840958135059
"CVisLNamibia",2.07819075977818
"CVisLSouthAfrica",2.33311429802887
"CVisLSwaziland",1.82616089594539
"CArtBotswana",4.65367459504771
"CArtLesotho",4.24319550895446
"CArtNamibia",4.55060839799541
"CArtSouthAfrica",4.630155438682
"CArtSwaziland",4.39691524716763
"CIpdBotswana",3.66330520299451
"CIpdLesotho",2.17247640764703
"CIpdNamibia",3.35898553285285
"CIpdSouthAfrica",3.67325807321098
"CIpdSwaziland",3.08694315360738
